,energy,initial_rho_pos,initial_phi_pos,initial_zpos,initial_pitch_angle,initial_phi_dir,center_theta,initial_field,initial_radius,center_x,center_y,rho_center,trapped_initial_pitch_angle,max_radius,avg_cycl_freq,zmax,axial_freq,mod_index,segment_power,slope,segment_length,band_power,band_num,segment_num,event_num,freq_stop,energy_stop
0,17800.0,0.003554998223523804,269.1891938781864,0.0047368151560385945,88.56515909204079,312.03701009719026,88.3634533414876,0.6884000820762488,0.0006590018860994258,0.004044447126832263,0.0004412745822418819,0.0040684488221771325,87.83978661003118,0.0006590686043551768,18628254170.510204,0.015024296144681398,16850356.080830224,3.3915482681813987,2.045797879937273e-16,89964983.07850635,0.0046697322901351705,,,0.0,0.0,18628674282.896667,17788.074567976775
1,17788.074567976775,0.003554998223523804,269.1891938781864,0.0,88.3634533414876,312.03701009719026,88.3634533414876,0.6882766795574803,0.0006588332458032741,0.004044321875585269,0.0004411616589289093,0.004068312063085434,87.70090227542208,0.0006588440086206127,18628674382.043118,0.015024458941695974,16844785.051774517,3.3918138637693898,2.044588801818317e-16,89918891.13590346,0.011635012136337554,,,1.0,0.0,18629720589.43277,17758.37895928535
2,17758.37895928535,0.003554998223523804,269.1891938781864,0.0,88.3634533414876,312.03701009719026,88.3634533414876,0.6882766795574803,0.0006582736842026,0.004043906282219665,0.00044078697060587955,0.00406785830294414,87.70091957547395,0.0006582844275829316,18629720918.173496,0.015024998715423581,16830731.93989932,3.392505636056991,2.0416753498684074e-16,89797141.52749436,0.0030881968057240323,,,2.0,0.0,18629998229.419125,17750.50830080613
3,17750.50830080613,0.003554998223523804,269.1891938781864,0.0,88.3634533414876,312.03701009719026,88.3634533414876,0.6882766795574803,0.0006581253009766159,0.004043796076150822,0.000440687611639784,0.00406773798032095,87.70092416251184,0.0006581360392059638,18629998316.69951,0.01502514200378959,16827004.984104257,3.392689044153126,2.040902975579329e-16,89766339.23734997,0.0042350852376783895,,,3.0,0.0,18630378484.797653,17739.718736003826
4,17739.718736003826,0.003554998223523804,269.1891938781864,0.0,88.3634533414876,312.03701009719026,88.3634533414876,0.6882766795574803,0.0006579218376698093,0.004043644961420378,0.00044055137047324644,0.004067572996769237,87.70093045189107,0.000657932568838352,18630378604.346085,0.015025338293668004,16821894.702100556,3.392940444263452,2.039844037290486e-16,89723287.22997253,0.0039170373397381395,,,4.0,0.0,18630730053.81241,17729.744627505726
5,17800.0,0.004628695931043656,263.75862697443034,-7.042335343977659e-05,89.32209945635553,328.9060724801319,89.32197170898539,0.688251019313508,0.0006593052052841053,0.004969189208769718,0.0005645774362636879,0.005001158773133632,87.66050254774446,0.0006593156886905437,18618393923.01961,0.003773922769460051,37718439.9627913,0.8505666231763451,1.3647415977688562e-16,59983122.71790173,0.005430607473784599,,,0.0,1.0,18618719667.814144,17790.748370006422
6,17790.748370006422,0.004628695931043656,263.75862697443034,0.0,89.32197170898539,328.9060724801319,89.32197170898539,0.6882509847936908,0.0006591309279250406,0.004969099204521692,0.0005644281987576118,0.005001052498817712,87.66046554689713,0.0006591413928910648,18618719667.814144,0.003773922769460051,37709128.50931252,0.8506112307006913,1.3641308976123292e-16,59957508.44263187,0.000923064847648741,,,1.0,1.0,18618775012.48254,17789.176532413167
7,17789.176532413167,0.004628695931043656,263.75862697443034,0.0,89.32197170898539,328.9060724801319,89.32197170898539,0.6882509847936908,0.0006591013115316464,0.004969083909355234,0.0005644028375935867,0.00500103443912325,87.66046554689713,0.0006591117760274537,18618775012.48254,0.003773922769460051,37707546.23070726,0.8506188094501231,1.3640271360845435e-16,59953891.76330119,0.003966429463094434,,,2.0,1.0,18619012815.365257,17782.42282629123
8,17782.42282629123,0.004628695931043656,263.75862697443034,0.0,89.32197170898539,328.9060724801319,89.32197170898539,0.6882509847936908,0.0006589740447893669,0.0049690181833911785,0.000564293856304645,0.005000956834760257,87.66046554689713,0.0006589845072645708,18619012815.365257,0.003773922769460051,37700746.74649101,0.8506513730226797,1.3635812862051842e-16,59935904.216994286,0.004372779782536719,,,3.0,1.0,18619274901.875465,17774.979654342013
9,17774.979654342013,0.004628695931043656,263.75862697443034,0.0,89.32197170898539,328.9060724801319,89.32197170898539,0.6882509847936908,0.0006588337591694924,0.004968945733924458,0.0005641737266666888,0.0050008712941393575,87.66046554689713,0.0006588442194173934,18619274901.875465,0.003773922769460051,37693251.400443755,0.8506872609151348,1.3630898864695682e-16,59916413.31940648,0.006561516096771254,,,4.0,1.0,18619668044.38592,17763.814927362113
10,17800.0,0.0023701706318838595,52.21038639487289,0.00469021013319972,88.03198228967624,241.08919931869085,87.89705008385596,0.6884065354481125,0.0006588135734341505,0.0029468785156327214,-0.00031850171328108085,0.002964040540758627,87.86130727927137,0.0006588724182209715,18636225694.09551,0.037360036006856674,8909499.205026647,8.444354874385668,3.046355900231527e-16,134031165.77717625,0.012283421696480296,,,0.0,2.0,18637872055.42522,17753.28897312496
11,17753.28897312496,0.0023701706318838595,52.21038639487289,0.0,87.89705008385596,241.08919931869085,87.89705008385596,0.6882960688519958,0.000657984311253872,0.0029461526015709203,-0.0003181008086309214,0.002963275767827684,87.73655575376078,0.0006579925468773102,18637872240.31017,0.03736047364239984,8898375.306741193,8.44668153568193,3.0392438557372125e-16,133730944.26653132,0.0009112209825538556,,,1.0,2.0,18637994098.7526,17749.831899153698
12,17749.831899153698,0.0023701706318838595,52.21038639487289,0.0,87.89705008385596,241.08919931869085,87.89705008385596,0.6882960688519958,0.0006579191501748163,0.002946095561295006,-0.0003180693066762633,0.0029632156756017026,87.73655735426706,0.000657927384044997,18637994113.122864,0.037360508150667646,8897551.306508297,8.446854213618963,3.0387206463058745e-16,133715435.78871924,0.006921014712846032,,,2.0,2.0,18638919559.621292,17723.578837264085
13,17723.578837264085,0.0023701706318838595,52.21038639487289,0.0,87.89705008385596,241.08919931869085,87.89705008385596,0.6882960688519958,0.000657424119309073,0.0029456622244384426,-0.0003178299852882045,0.0029627591599777287,87.73656951202544,0.0006574323398665661,18638919669.722332,0.037360769399393375,8891290.80843006,8.448165361158852,3.0347467463916045e-16,133553544.92088881,0.006630205053267689,,,3.0,2.0,18639805157.11075,17698.461775829554
14,17698.461775829554,0.0023701706318838595,52.21038639487289,0.0,87.89705008385596,241.08919931869085,87.89705008385596,0.6882960688519958,0.0006569501828781894,0.0029452473530892356,-0.00031760086194996493,0.0029623221091553344,87.73658114949674,0.0006569583907016542,18639805262.489563,0.03736101953045052,8885296.214676978,8.44941983341436,3.030943747947302e-16,133393555.34133753,0.0010849428031441388,,,4.0,2.0,18639949986.867416,17694.356861168115
